Id,Firstname,Lastname,Sex,Address,Postcode,Pref_1,Pref_2,Pref_3,Pref_4,Pref_5,Latitude,Longitude,Email
20,Gretchen,Hamill,Female,"33 Park St, Bristol ",BS1 5NH,Women,Disaster Relief,Poverty,Animals,Healthcare,51.4538089,-2.6023163,gretchen.hamill@gmail.com
21,Agnes,Gusikowski,Female,"31 The Mall, Clifton, Bristol ",BS8 4JG,Education,Animals,Human Rights,Elderly Care,Environment,51.4560743,-2.6213596,agnes.gusikowski@gmail.com
22,Cheyanne,Schulist,Male,"6 Broadmead, Bristol ",BS1 3HH,Religious,Poverty,Women,Human Rights,Healthcare,51.45833529999999,-2.5874931,cheyanne.schulist@gmail.com
23,Jamison,Erdman,Male,"Gb Patchway , Bristol R21 Lower Level, The Mall ",BS34 5GF,Animals,Environment,Human Rights,Poverty,Religious,51.5251574,-2.595359,jamison.erdman@gmail.com
24,Pattie,Emmerich,Female,"Circus, Su57, George White Street Cabots, Bristol ",BS1 3BA,Environment,Women,Animals,Human Rights,Healthcare,51.4582804,-2.5858948,pattie.emmerich@gmail.com
25,Samson,Wiegand,Female,"The Galleries Shopping Centre, 93 Broadmead, Bristol ",BS1 3DT,Religious,Poverty,Human Rights,Elderly Care,Education,51.4570248,-2.590614,samson.wiegand@gmail.com
26,Elza,Farrell,Male,"36 Concorde St, Broadmead, Bristol ",BS1 3BF,Human Rights,Poverty,Elderly Care,Women,Animals,51.458892,-2.5858738,elza.farrell@gmail.com
27,Louie,Ziemann,Female,"2-4 The Mall, Clifton, Bristol ",BS8 4DR,Poverty,Human Rights,Women,Disaster Relief,Environment,51.4549098,-2.6205233,louie.ziemann@gmail.com
28,Kayleigh,Glover,Female,"Unit Su33, 25 Penn St, Broadmead, Bristol ",BS1 3XB,Environment,Elderly Care,Women,Education,Poverty,51.456822,-2.5898054,kayleigh.glover@gmail.com
29,Alek,Medhurst,Male,"Unit 5-7, Asda Building, East St, Avon, Bristol ",BS3 4HH,Poverty,Education,Healthcare,Disaster Relief,Religious,51.44275940000001,-2.5950061,alek.medhurst@gmail.com
30,Dock,Bode,Female,"129 Stoke Ln, Bristol ",BS9 3RW,Human Rights,Elderly Care,Disaster Relief,Women,Healthcare,51.4882468,-2.6247355,dock.bode@gmail.com
31,Buck,Block,Male,"Su48, Broadmead, Bristol ",BS1 3BA,Environment,Poverty,Human Rights,Animals,Disaster Relief,51.4582804,-2.5858948,buck.block@gmail.com
32,Jarod,Schmitt,Female,"9 All Saints Ln, Bristol ",BS1 1JH,Education,Animals,Disaster Relief,Religious,Environment,51.4545122,-2.5931434,jarod.schmitt@gmail.com
33,Ariane,Morissette,Male,"Unit 535, Lower Level The Mall At, Bristol ",BS34 5GG,Elderly Care,Disaster Relief,Environment,Religious,Animals,51.5250824,-2.595949,ariane.morissette@gmail.com
34,Diego,Schuppe,Female,"1 North St, Bedminster, Bristol ",BS3 1EN,Animals,Women,Healthcare,Poverty,Education,51.4411338,-2.6026638,diego.schuppe@gmail.com
35,Buddy,Haag,Male,"19 East St, Bedminster, Bristol ",BS3 4HH,Animals,Elderly Care,Environment,Disaster Relief,Healthcare,51.44275940000001,-2.5950061,buddy.haag@gmail.com
36,Telly,Kautzer,Male,"31 The Arcade, Broadmead, Bristol ",BS1 3JD,Disaster Relief,Human Rights,Environment,Education,Poverty,51.45784519999999,-2.5901784,telly.kautzer@gmail.com
37,Bart,Wilderman,Male,"47 Princess Victoria St, Clifton, Bristol ",BS8 4BX,Healthcare,Disaster Relief,Elderly Care,Women,Religious,51.4543617,-2.6204295,bart.wilderman@gmail.com
38,Khalid,Zieme,Male,"Cabot Circus Su53, Penn St, Bristol ",BS1 3BD,Animals,Disaster Relief,Religious,Women,Poverty,51.4585119,-2.5845591,khalid.zieme@gmail.com
39,Hattie,Dietrich,Male,"33 Union St, Bristol ",BS1 2DJ,Education,Poverty,Human Rights,Religious,Elderly Care,51.4565983,-2.5913713,hattie.dietrich@gmail.com
40,Winfield,Ernser,Female,"156 Brynland Ave, Bishopston, Bristol ",BS7 9DY,Animals,Education,Religious,Human Rights,Women,51.4817111,-2.5862098,winfield.ernser@gmail.com
41,Wellington,Price,Male,"13 Backfields Ln, St Paul'S, Bristol ",BS2 8QW,Poverty,Human Rights,Animals,Education,Healthcare,51.4622318,-2.5886946,wellington.price@gmail.com
42,Katelyn,Franey,Female,"Unit 5, 2 Paintworks, Arno'S Vale, Bristol ",BS4 3EH,Education,Religious,Environment,Elderly Care,Women,51.4433257,-2.567905,katelyn.franey@gmail.com
43,Nathan,Ernser,Female,"4 Grove Rd, Redland, Bristol ",BS6 6UJ,Education,Elderly Care,Environment,Poverty,Women,51.4702058,-2.6135758,nathan.ernser@gmail.com
44,Ellis,Skiles,Male,"The Workshop, 254 Southmead Rd, Bristol ",BS10 5EN,Animals,Education,Human Rights,Women,Religious,51.49625109999999,-2.5985256,ellis.skiles@gmail.com
45,Everette,Beahan,Male,"18 Sutherland Pl, Clifton, Bristol ",BS8 2TZ,Animals,Poverty,Environment,Religious,Education,51.4692601,-2.617292,everette.beahan@gmail.com
46,Robin,Dicki,Male,"27 Trenchard St, Bristol ",BS1 5AN,Religious,Disaster Relief,Animals,Elderly Care,Poverty,51.4552776,-2.5982339,robin.dicki@gmail.com
47,Devon,Hermiston,Female,"103 Whiteladies Rd, Redland, Bristol ",BS8 2PB,Religious,Women,Poverty,Education,Animals,51.4640606,-2.6091025,devon.hermiston@gmail.com
48,Cameron,Lubowitz,Female,"Cedar Yard, 290A Gloucester Rd, Bristol ",BS7 8PD,Elderly Care,Women,Disaster Relief,Poverty,Animals,51.4812686,-2.5883787,cameron.lubowitz@gmail.com
49,Abel,Watsica,Female,"Promenade House, The Promenade, Clifton Down, Clifton, Bristol ",BS8 3NE,Human Rights,Environment,Animals,Women,Elderly Care,51.4590343,-2.6261212,abel.watsica@gmail.com
50,Sophia,Fisher,Female,"Studio 6, 1 St Andrews Rd, Montpelier, Bristol ",BS6 5EH,Disaster Relief,Women,Animals,Healthcare,Poverty,51.4669465,-2.5881076,sophia.fisher@gmail.com
51,Rhianna,Kautzer,Female,"Rivergate House, 70 Redcliff St, Redcliffe, Bristol ",BS1 6LS,Poverty,Animals,Disaster Relief,Education,Human Rights,51.4501873,-2.589533,rhianna.kautzer@gmail.com
52,Sylvia,Moen,Male,"12 Dowry Square, Hotwells, Bristol ",BS8 4SH,Elderly Care,Religious,Environment,Poverty,Disaster Relief,51.4512709,-2.6199701,sylvia.moen@gmail.com
53,Ulises,Stiedemann,Female,"Vintry Building, Wine St, Bristol ",BS1 2BD,Disaster Relief,Women,Healthcare,Environment,Human Rights,51.4555719,-2.5916315,ulises.stiedemann@gmail.com
54,Juwan,Smith,Female,"267 Hotwell Rd, Hotwells, Bristol ",BS8 4SF,Religious,Elderly Care,Women,Human Rights,Disaster Relief,51.4502678,-2.6192082,juwan.smith@gmail.com
55,Beatrice,Considine,Female,"7 Hill St, Bristol ",BS1 5RW,Education,Animals,Environment,Elderly Care,Healthcare,51.4537436,-2.602776,beatrice.considine@gmail.com
56,Elva,Wilkinson,Female,"6 Church Rd, Bristol ",BS9 1JU,Education,Religious,Environment,Poverty,Elderly Care,51.4760508,-2.6337559,elva.wilkinson@gmail.com
57,Florence,Harris,Female,"40 Hotwell Rd, Hotwells, Bristol ",BS8 4UQ,Environment,Women,Education,Healthcare,Elderly Care,51.450271,-2.610041,florence.harris@gmail.com
58,Duncan,Mohr,Male,"14 Backfields Ln, St Paul'S, Bristol ",BS2 8QW,Disaster Relief,Animals,Religious,Healthcare,Education,51.4622318,-2.5886946,duncan.mohr@gmail.com
59,Nellie,Bartoletti,Female,"157 Redland Rd, Redland, Bristol ",BS6 6YE,Education,Disaster Relief,Healthcare,Women,Poverty,51.4725157,-2.6085963,nellie.bartoletti@gmail.com
60,Ramon,Collins,Female,"Spire Bristol Hospital, The Glen, Redland Hill, Durdham Down, Bristol ",BS6 6UT,Disaster Relief,Elderly Care,Human Rights,Healthcare,Poverty,51.4720423,-2.6148676,ramon.collins@gmail.com
61,Lenny,Considine,Female,"Bristol Nuffield Hospital, 3 Clifton Hill, Clifton, Bristol ",BS8 1BN,Women,Education,Elderly Care,Religious,Poverty,51.4536028,-2.6160007,lenny.considine@gmail.com
62,Lucas,Mann,Female,"The Glen, Redland Hill, Redland, Durdham Down, Bristol ",BS6 6UT,Women,Animals,Elderly Care,Poverty,Disaster Relief,51.4720423,-2.6148676,lucas.mann@gmail.com
63,Lindsay,Beahan,Female,"10, Southmead Hospital, Dept. Of Neurology, Southmead, Bristol ",BS10 5NB,Religious,Healthcare,Environment,Poverty,Elderly Care,51.4948056,-2.591016,lindsay.beahan@gmail.com
64,Luis,Heller,Male,"Litfield Place, 1, Clifton, Bristol ",BS8 3LS,Education,Women,Elderly Care,Human Rights,Disaster Relief,51.4577556,-2.6230954,luis.heller@gmail.com
65,Abdiel,Bergnaum,Male,"The Spectrum, Bond St, St Paul'S, Bristol ",BS1 3LG,Women,Human Rights,Environment,Disaster Relief,Education,51.45979879999999,-2.5864164,abdiel.bergnaum@gmail.com
66,Finn,Emmerich,Female,"114 Pembroke Rd, Clifton, Bristol ",BS8 3EW,Disaster Relief,Poverty,Healthcare,Animals,Elderly Care,51.46480529999999,-2.6180091,finn.emmerich@gmail.com
67,Elias,Rohan,Female,"Pembroke Rd, Shirehampton, Bristol ",BS11 9SB,Religious,Poverty,Disaster Relief,Women,Education,51.4890911,-2.6767133,elias.rohan@gmail.com
68,Reyes,Denesik,Female,"Clifton Hill, Clifton, Bristol ",BS8 1BL,Education,Human Rights,Disaster Relief,Religious,Poverty,51.45720970000001,-2.6089246,reyes.denesik@gmail.com
69,Agnes,Bruen,Male,"300 Park Ave, Aztec W, Bristol ",BS32 4SY,Animals,Disaster Relief,Education,Elderly Care,Religious,51.5421992,-2.5713277,agnes.bruen@gmail.com
70,Eve,Schimmel,Female,"Redland Hill, Redland, Bristol ",BS6 6UT,Women,Education,Elderly Care,Healthcare,Animals,51.4720423,-2.6148676,eve.schimmel@gmail.com
71,Dangelo,Herzog,Female,"47 Juniper Way, Bradley Stoke, Bristol ",BS32 0BR,Women,Environment,Disaster Relief,Religious,Human Rights,51.52904179999999,-2.5337678,dangelo.herzog@gmail.com
72,Hester,Weissnat,Male,"808 Whitchurch Ln, Bristol ",BS14 0JW,Poverty,Education,Women,Healthcare,Religious,51.4066768,-2.5675932,hester.weissnat@gmail.com
73,Mattie,Osinski,Female,"134 Hayward Rd, Redfield, Bristol ",BS5 9QA,Elderly Care,Religious,Poverty,Women,Human Rights,51.4565435,-2.558598,mattie.osinski@gmail.com
74,Shanny,Keeling,Male,"Spire Bristol Hospital, The Glen, Redland Hill, Bristol ",BS6 6UT,Disaster Relief,Human Rights,Healthcare,Education,Poverty,51.4720423,-2.6148676,shanny.keeling@gmail.com
75,Aniyah,Strosin,Female,"Apex Court, 9, Bristol ",BS32 4JT,Poverty,Elderly Care,Environment,Disaster Relief,Education,51.5488431,-2.5528063,aniyah.strosin@gmail.com
76,Van,Hahn,Male,"17 Queen Square, Bristol ",BS1 4NH,Human Rights,Environment,Poverty,Education,Animals,51.4501237,-2.5932306,van.hahn@gmail.com
77,Hassie,Halvorson,Female,"1 Queen Square, Bristol ",BS1 4JQ,Religious,Elderly Care,Women,Poverty,Animals,51.45130589999999,-2.5941669,hassie.halvorson@gmail.com
78,Elian,Schimmel,Male,"92 Queens Rd, Clifton, Bristol ",BS8 1RT,Women,Elderly Care,Healthcare,Human Rights,Environment,51.45820670000001,-2.6108523,elian.schimmel@gmail.com
79,Erin,Upton,Male,"16-24 Clare St, Bristol ",BS1 1YA,Poverty,Environment,Education,Animals,Disaster Relief,51.4538433,-2.5955958,erin.upton@gmail.com
80,Colt,Stehr,Female,"Old Market News, Mydentist 36, Old Market St, England, Bristol ",BS2 0EZ,Elderly Care,Religious,Healthcare,Animals,Education,51.4563615,-2.581207,colt.stehr@gmail.com
81,Arlie,Kshlerin,Male,"352-354 Lodge Causeway, Bristol ",BS16 3PL,Poverty,Religious,Animals,Women,Elderly Care,51.4709807,-2.5222054,arlie.kshlerin@gmail.com
82,Giovanny,Hammes,Male,"1 Telephone Ave, Bristol ",BS1 4AZ,Animals,Education,Healthcare,Elderly Care,Religious,51.4527549,-2.5956824,giovanny.hammes@gmail.com
83,Jennyfer,Bogisich,Female,"Lower Maudlin St, Bristol ",BS1 2LY,Religious,Education,Elderly Care,Human Rights,Environment,51.4586111,-2.5951972,jennyfer.bogisich@gmail.com
84,Kristian,Dooley,Male,"38 Victoria St, Bristol ",BS16 5JS,Poverty,Religious,Human Rights,Healthcare,Disaster Relief,51.4822715,-2.5064071,kristian.dooley@gmail.com
85,Braeden,Krajcik,Male,"Wells Rd, Knowle, Bristol ",BS4 2QB,Animals,Poverty,Human Rights,Women,Education,51.4347244,-2.5671504,braeden.krajcik@gmail.com
86,Ramiro,Bruen,Female,"Basement Floor, 32 Whiteladies Road, Bristol ",BS8 2LG,Disaster Relief,Human Rights,Education,Religious,Healthcare,51.4607403,-2.6095476,ramiro.bruen@gmail.com
87,Eric,Braun,Female,"89A Redland Rd, Redland, Bristol ",BS6 6RD,Elderly Care,Healthcare,Women,Education,Poverty,51.4694683,-2.5979591,eric.braun@gmail.com
88,Danika,Considine,Female,"Unit No. 3 Village Walk, England, Bristol ",BS11 9LP,Human Rights,Religious,Poverty,Disaster Relief,Education,51.4990709,-2.6937455,danika.considine@gmail.com
89,Deonte,Torp,Male,"4 Downside Rd, Clifton, Bristol ",BS8 2XE,Women,Education,Human Rights,Elderly Care,Religious,51.4668286,-2.6196778,deonte.torp@gmail.com
90,William,Kassulke,Female,"44 High St, Bristol ",BS1 2AZ,Disaster Relief,Women,Poverty,Environment,Religious,51.4548007,-2.5929888,william.kassulke@gmail.com
91,Margaretta,Adams-Torphy,Male,"30 Zetland Rd, Redland, Bristol ",BS6 7AB,Environment,Poverty,Elderly Care,Human Rights,Religious,51.4699557,-2.5958491,margaretta.adams-torphy@gmail.com
92,Ludwig,Hessel,Female,"9 Cotham Rd S, Bristol ",BS6 5TZ,Elderly Care,Healthcare,Disaster Relief,Women,Education,51.4624659,-2.5975075,ludwig.hessel@gmail.com
93,Guiseppe,Collins,Male,"30 Elgin Park, Redland, Bristol ",BS6 6RX,Human Rights,Poverty,Animals,Religious,Disaster Relief,51.4697936,-2.6098557,guiseppe.collins@gmail.com
94,Antonia,Wolff,Male,"Fox Den Road, East Filton, Inside Sainsbury'S, Bristol ",BS34 8SS,Elderly Care,Disaster Relief,Poverty,Animals,Environment,51.5079035,-2.5529155,antonia.wolff@gmail.com
95,Jalyn,Crist,Male,"College Green, Bristol ",BS1 5TA,Education,Religious,Human Rights,Poverty,Elderly Care,51.4519809,-2.5993277,jalyn.crist@gmail.com
96,Bernice,Rath,Male,"Temple Way, Redcliffe, Bristol ",BS1 6BF,Women,Poverty,Healthcare,Environment,Human Rights,51.4516665,-2.5850619,bernice.rath@gmail.com
97,Brody,Bernier,Male,"Broad Quay, Bristol ",BS1 4BY,Education,Human Rights,Healthcare,Women,Animals,51.4525335,-2.5967732,brody.bernier@gmail.com
98,Peyton,Abernathy,Female,"2 Lower Castle St, Bristol ",BS1 3AD,Healthcare,Education,Animals,Religious,Women,51.455966,-2.5847857,peyton.abernathy@gmail.com
99,Vance,Towne,Female,"15 Berkeley Square, Bristol ",BS8 1HB,Poverty,Human Rights,Religious,Education,Elderly Care,51.45536,-2.6066834,vance.towne@gmail.com
100,Torrey,Daugherty,Female,"5-7 Welsh Back, Bristol ",BS1 4SP,Elderly Care,Environment,Disaster Relief,Women,Religious,51.45320220000001,-2.5925796,torrey.daugherty@gmail.com
101,Krystina,Klein,Male,"Temple Gate, Redcliffe, Southend-On-Sea, Bristol ",BS1 6PL,Human Rights,Healthcare,Animals,Environment,Religious,51.4482553,-2.5839104,krystina.klein@gmail.com
102,Lenora,Littel,Male,"Redcliffe Way, Redcliffe, Bristol ",BS1 6NJ,Elderly Care,Human Rights,Women,Animals,Education,51.4482271,-2.5877378,lenora.littel@gmail.com
103,Mason,Marvin,Female,"The Sugar House, Narrow Lewins Mead, Bristol ",BS1 2NU,Women,Environment,Animals,Education,Elderly Care,51.45673410000001,-2.5965114,mason.marvin@gmail.com
104,Sim,Wisoky,Female,"Bond St, St Paul'S, Bristol ",BS1 3LE,Human Rights,Environment,Poverty,Animals,Education,51.4598544,-2.5893982,sim.wisoky@gmail.com
105,Edmund,Collier,Female,"Broad St, Bristol ",BS1 2EL,Elderly Care,Poverty,Human Rights,Education,Healthcare,51.4553383,-2.5933844,edmund.collier@gmail.com
106,Ulises,Kunde,Female,"Broad Quay, Bristol ",BS1 4AW,Women,Healthcare,Disaster Relief,Elderly Care,Religious,51.4522288,-2.5965678,ulises.kunde@gmail.com
107,Bethel,Ankunding,Male,"6 Berkeley Cres, Bristol ",BS8 1HA,Human Rights,Religious,Elderly Care,Healthcare,Poverty,51.4558088,-2.6068333,bethel.ankunding@gmail.com
108,Jettie,Hegmann,Female,"Parkway Business Park, New Rd, Stoke Gifford, Bristol ",BS34 8TJ,Disaster Relief,Animals,Elderly Care,Environment,Education,51.5075862,-2.5553468,jettie.hegmann@gmail.com
109,Katlynn,Hand,Female,"Prince St, Bristol ",BS1 4QF,Healthcare,Disaster Relief,Women,Animals,Environment,51.4505182,-2.5969917,katlynn.hand@gmail.com
110,Sabina,Hayes,Female,"Clifton, Bristol ",BS8 4HY,Disaster Relief,Animals,Poverty,Religious,Education,51.45533649999999,-2.6197375,sabina.hayes@gmail.com
111,Josue,Shields,Female,"53-55 Corn St, Bristol ",BS1 1HT,Animals,Education,Disaster Relief,Women,Elderly Care,51.4543865,-2.5948832,josue.shields@gmail.com
112,Jaylen,Jacobi,Male,"St Nicholas St, Bristol ",BS1 1UB,Women,Elderly Care,Disaster Relief,Human Rights,Religious,51.4538982,-2.5936392,jaylen.jacobi@gmail.com
113,Diego,Wilderman-Renner,Female,"Lewins Mead, Bristol ",BS1 2NT,Poverty,Environment,Disaster Relief,Animals,Education,51.4578667,-2.5948133,diego.wilderman-renner@gmail.com
114,Rosalee,Deckow,Female,"5Th Floor, Tower Wharf, Cheese Ln, Bristol ",BS2 0JJ,Poverty,Education,Women,Elderly Care,Environment,51.4536972,-2.5853613,rosalee.deckow@gmail.com
115,Sean,Spencer,Female,"The Coach House, 26B Oakfield Rd, Clifton, Bristol ",BS8 2AT,Religious,Animals,Environment,Poverty,Disaster Relief,51.4605198,-2.6121644,sean.spencer@gmail.com
116,Ofelia,Marquardt,Male,"The Georgian House, Gas Ferry Rd, Bristol ",BS1 6UN,Human Rights,Women,Education,Environment,Animals,51.4474139,-2.6078732,ofelia.marquardt@gmail.com
117,Rodolfo,Nienow,Female,"36 Queen Square, Bristol ",BS1 4QS,Human Rights,Poverty,Disaster Relief,Healthcare,Environment,51.44973640000001,-2.5951251,rodolfo.nienow@gmail.com
118,Libbie,O'Connell,Female,"West One, St George'S Rd, Bristol ",BS1 5BE,Poverty,Human Rights,Disaster Relief,Elderly Care,Education,51.4516155,-2.6039425,libbie.o'connell@gmail.com
119,Stevie,Mcglynn,Female,"15, 1 Bath Rd, Arno'S Vale, Bristol ",BS4 3EH,Human Rights,Disaster Relief,Healthcare,Poverty,Animals,51.4433257,-2.567905,stevie.mcglynn@gmail.com
120,Westley,Baumbach,Male,"Temple Quay, 3 Temple Back E, Redcliffe, Bristol ",BS1 6DZ,Education,Animals,Poverty,Human Rights,Environment,51.4521311,-2.583859,westley.baumbach@gmail.com
121,Kavon,Ledner,Male,"Here, 470 Bath Rd, Bristol ",BS4 3HG,Religious,Disaster Relief,Animals,Elderly Care,Poverty,51.44148490000001,-2.5618102,kavon.ledner@gmail.com
122,Kade,Ritchie,Female,"7 Park St, Bristol ",BS1 5NF,Poverty,Human Rights,Religious,Elderly Care,Healthcare,51.4532635,-2.6017191,kade.ritchie@gmail.com
123,Haylee,Hirthe,Male,"7.08, The Deco Bldg, Bath Rd, Arno'S Vale, Bristol ",BS4 3EH,Education,Religious,Animals,Environment,Elderly Care,51.4433257,-2.567905,haylee.hirthe@gmail.com
124,Leon,Hoppe,Female,"130 Raleigh Rd, Southville, Bristol ",BS3 1TF,Disaster Relief,Education,Poverty,Human Rights,Environment,51.44239409999999,-2.6135191,leon.hoppe@gmail.com
125,Eunice,Larson,Female,"2Nd Floor Royal London Buildings, 42-46 Baldwin St, Bristol ",BS1 1PN,Animals,Religious,Environment,Poverty,Education,51.4532494,-2.5939186,eunice.larson@gmail.com
126,Ines,Reichel,Male,"33-35 High St, Shirehampton, Bristol ",BS11 0DX,Healthcare,Women,Environment,Animals,Religious,51.4889434,-2.6758325,ines.reichel@gmail.com
127,Meaghan,Reilly,Female,"16 Clifton Park, Clifton, Bristol ",BS8 3BY,Healthcare,Education,Human Rights,Animals,Disaster Relief,51.45885329999999,-2.616158,meaghan.reilly@gmail.com
128,Esperanza,Wilkinson,Female,"2 Grove Park Terrace, Bristol ",BS16 2BN,Human Rights,Disaster Relief,Animals,Education,Women,51.4783563,-2.5375963,esperanza.wilkinson@gmail.com
129,Levi,Hyatt,Female,"Bath Rd, Arno'S Vale, Bristol ",BS4 3EN,Education,Elderly Care,Animals,Healthcare,Disaster Relief,51.44266709999999,-2.5683716,levi.hyatt@gmail.com
130,Annette,Kris,Male,"Here, 470 Bath Rd, Bristol ",BS4 3AP,Human Rights,Healthcare,Women,Religious,Environment,51.4414865,-2.5618086,annette.kris@gmail.com
131,Hailee,Swift,Male,"82 Feeder Rd, Bristol ",BS2 0TQ,Environment,Healthcare,Animals,Disaster Relief,Education,51.4497611,-2.568474,hailee.swift@gmail.com
132,Freddy,Jacobson,Male,"13 Harbury Rd, Henleaze, Bristol ",BS9 4PN,Religious,Disaster Relief,Animals,Environment,Healthcare,51.4914901,-2.599414,freddy.jacobson@gmail.com
133,Jammie,Orn,Male,"16 Hartcliffe Way, Bristol ",BS3 5RQ,Religious,Disaster Relief,Women,Education,Poverty,51.4301058,-2.6043652,jammie.orn@gmail.com
134,Marlee,West,Male,"55 Stokes Croft, Bristol ",BS1 3QP,Religious,Environment,Animals,Women,Healthcare,51.4622319,-2.5904508,marlee.west@gmail.com
135,Tracy,Lang,Male,"14 Park Row, Bristol ",BS1 5LJ,Poverty,Elderly Care,Healthcare,Human Rights,Education,51.455292,-2.6006808,tracy.lang@gmail.com
136,Emilie,Nader,Male,"3 Kingsway, Bristol ",BS15 8BF,Animals,Environment,Disaster Relief,Human Rights,Healthcare,51.4619893,-2.5201159,emilie.nader@gmail.com
137,Hildegard,Stanton,Male,"4 Byron Pl, Bristol ",BS8 1JT,Education,Religious,Poverty,Animals,Disaster Relief,51.4557772,-2.6077253,hildegard.stanton@gmail.com
138,Mikel,Fritsch,Male,"12 Small St, Bristol ",BS1 1DB,Education,Elderly Care,Women,Poverty,Healthcare,51.45517479999999,-2.5954692,mikel.fritsch@gmail.com
139,Rolando,Strosin,Female,"33 The Arcade, Broadmead, Bristol ",BS1 3JD,Women,Healthcare,Human Rights,Elderly Care,Disaster Relief,51.45784519999999,-2.5901784,rolando.strosin@gmail.com
140,Berta,Lemke,Female,"7 Boyce'S Ave, Clifton, Bristol ",BS8 4AA,Animals,Women,Elderly Care,Healthcare,Environment,51.4553527,-2.6183848,berta.lemke@gmail.com
141,Harrison,Bergnaum,Male,"30 Gloucester Rd N, Bristol ",BS7 0SJ,Disaster Relief,Animals,Education,Environment,Religious,51.5022315,-2.578621,harrison.bergnaum@gmail.com
142,Elena,Lesch,Female,"121 Coldharbour Rd, Redland, Bristol ",BS6 7SN,Religious,Poverty,Women,Elderly Care,Animals,51.478193,-2.6078655,elena.lesch@gmail.com
143,Lavon,Swaniawski,Female,"178 Gloucester Rd, Bishopston, Avon, Bristol ",BS7 8NU,Poverty,Healthcare,Human Rights,Education,Religious,51.4786176,-2.5898854,lavon.swaniawski@gmail.com
